x, y, z
1335012.36, 5018660.99, 752.9300000000001
1335019.51, 5018650.97, 753.0
1335011.6300000001, 5018659.53, 752.51
1335015.68, 5018654.55, 752.69
1335021.53, 5018647.350000001, 752.64
1335021.87, 5018645.78, 752.33
1335013.83, 5018655.66, 752.28
1335011.75, 5018657.22, 752.0
1335015.77, 5018652.2700000005, 751.7
1335020.55, 5018646.39, 751.72
1335024.58, 5018641.42, 752.48
1335020.2, 5018645.71, 751.28
1335015.08, 5018651.99, 751.49
1335010.68, 5018657.39, 751.69
1335010.8, 5018656.28, 751.53
1335014.82, 5018651.33, 751.1800000000001
1335018.85, 5018646.37, 750.88
1335023.6300000001, 5018640.48, 751.51
1335019.59, 5018644.13, 750.53
1335015.56, 5018649.08, 750.3100000000001
1335011.53, 5018654.0200000005, 750.86
1335007.8800000001, 5018657.5200000005, 751.15
1335012.6500000001, 5018651.66, 750.44
1335016.67, 5018646.71, 750.15
1335020.12, 5018641.3100000005, 749.99
1335015.73, 5018646.71, 749.76
1335011.7, 5018651.66, 749.96
1335007.67, 5018656.600000001, 750.47
1335010.94, 5018651.65, 749.5600000000001
1335014.97, 5018646.69, 749.36
1335019.3900000001, 5018641.24, 749.62
1335016.07, 5018644.13, 748.87
1335009.85, 5018651.78, 749.07
1335006.72, 5018654.5200000005, 749.03
1335010.75, 5018649.55, 748.51
1335014.79, 5018644.58, 748.23
1335015.87, 5018642.100000001, 747.86
1335010.74, 5018648.4, 748.27
1335006.34, 5018653.8100000005, 748.69
1335007.58, 5018651.350000001, 748.09
1335012.34, 5018645.49, 747.53
1335016.3800000001, 5018640.5200000005, 747.71
1335009.06, 5018648.41, 747.54
1335004.04, 5018653.63, 748.11
1335008.8, 5018647.78, 746.99
1335013.56, 5018641.9, 746.74
1335010.6300000001, 5018644.25, 746.26
1335005.87, 5018650.09, 746.73
1335004.82, 5018650.49, 746.82
1335010.32, 5018643.71, 745.95
1335011.18, 5018641.5600000005, 745.41
1335004.94, 5018649.23, 746.12
1335003.78, 5018649.73, 746.08
1335009.28, 5018642.95, 745.26
1335007.32, 5018644.2, 745.11
1335002.54, 5018650.0600000005, 746.13
1335004.17, 5018646.99, 745.37
1335009.68, 5018640.21, 743.97
1335004.1500000001, 5018645.88, 745.26
1335000.97, 5018648.88, 745.26
1335005.0, 5018643.92, 744.22
1335005.03, 5018642.79, 743.6800000000001
1335000.28, 5018648.63, 744.94
1335003.27, 5018643.99, 744.25
1335002.56, 5018643.61, 743.96
1334999.61, 5018646.350000001, 744.29
1335004.74, 5018640.03, 742.4300000000001
1334998.1500000001, 5018646.14, 743.62
1335000.91, 5018641.55, 742.69
1334997.72, 5018644.46, 742.92
1334997.67, 5018643.44, 742.74
1334998.46, 5018640.47, 741.66
1334997.4000000001, 5018640.86, 741.51
1334994.86, 5018640.84, 740.35
1335016.45, 5018644.86, 750.16
1335006.75, 5018643.8100000005, 745.36
1335002.92, 5018642.2700000005, 743.71
